Bike-Number,Rental-Time,Rental-Type,Rental-Location,Rental-Lat,Rental-Lng,Return-Time,Return-Type,Return-Location,Return-Lat,Return-Lng,Duration-Minutes,Movement-Type
16683,2025-07-20 22:29:56,Station (virtuell),Jelbi Platz des 18. März/Ahornsteig (TIE/PA),52.516026,13.375934,2025-07-20 22:41:44,Station (virtuell),Bundesratufer/Krefelder Straße,52.522988,13.339887,11.8,Station:Station
15312,2025-07-20 22:29:56,Station (virtuell),Ella-Trebe-Straße/Rahel-Hirsch-Straße,52.522772,13.368607,2025-07-20 22:41:44,Station (physisch),Sportplatz Emdener Straße,52.530496,13.333955,11.8,Station:Station
16324,2025-07-20 22:29:56,Station (virtuell),M Milastraße (Schönhauser Allee),52.545138,13.412976,2025-07-20 22:41:44,Station (physisch),Pankstr./Böttgerstr.,52.550109,13.378204,11.8,Station:Station
101143,2025-07-20 22:13:05,Station (physisch),M Greifswalder Straße/Danziger Straße,52.536231,13.432285,2025-07-20 22:41:44,Station (virtuell),U Magdalenenstraße,52.512446,13.488618,28.6,Station:Station
18917,2025-07-20 22:13:05,Station (virtuell),S Grunewald (West),52.489558,13.260491,2025-07-20 22:41:44,Station (virtuell),U Güntzelstraße (Trautenaustraße),52.493068,13.330467,28.6,Station:Station
100506,2025-07-20 22:29:56,Station (virtuell),Jelbi Oberbaumbrücke (FHA/OB),52.502975,13.4463,2025-07-20 22:41:44,Station (virtuell),Wiener Straße (Spreewaldplatz),52.497451,13.432097,11.8,Station:Station
101145,2025-07-20 22:29:56,Station (virtuell),U Berliner Straße,52.487182,13.331541,2025-07-20 22:41:44,Freistehend,Flexzone,52.486018,13.345943,11.8,Station:Flexzone
14922,2025-07-20 22:29:56,Station (physisch),Zeughofstraße (Lausitzer Park),52.499785,13.433427,2025-07-20 22:41:44,Freistehend,Flexzone,52.521916,13.449571,11.8,Station:Flexzone
16448,2025-07-20 22:29:56,Station (virtuell),U Märkisches Museum (Ost),52.512765,13.411871,2025-07-20 22:41:44,Station (virtuell),Jelbi Libauer Straße/ Kopernikusstraße (FHA/LK),52.50996,13.455156,11.8,Station:Station
15282,2025-07-20 21:28:16,Station (virtuell),VRAO 76 - Augststraße/Tucholskystraße (Abstellfläche Mikromobilität),52.526483,13.393815,2025-07-20 22:41:44,Station (virtuell),Holzmarktstraße/Krautstraße,52.511957,13.426984,73.5,Station:Station
19096,2025-07-20 22:29:56,Station (physisch),Danziger Straße/Lychener Straße,52.540923,13.414548,2025-07-20 22:41:44,Station (virtuell),VRAO 27 - U Friedrichstraße/Reichstagsufer (Abstellfläche-Mikromobilität),52.521003,13.386701,11.8,Station:Station
17090,2025-07-20 22:29:56,Station (virtuell),Neue Bahnhofstraße/Boxhagener Straße (Süd),52.506022,13.470231,2025-07-20 22:41:44,Freistehend,außerhalb Flexzone,52.511489,13.446834,11.8,Station:NoFlexzone
100035,2025-07-20 22:29:56,Station (virtuell),EDEKA Fromm (S+U Wedding),52.542625,13.365796,2025-07-20 22:41:44,Freistehend,außerhalb Flexzone,52.540204,13.375851,11.8,Station:NoFlexzone
19608,2025-07-20 21:56:15,Station (virtuell),Sophienstraße/Weitlingstraße,52.505962,13.495694,2025-07-20 22:41:44,Station (virtuell),S Betriebsbahnhof Rummelsburg,52.493556,13.499056,45.5,Station:Station
18732,2025-07-20 17:06:49,Station (virtuell),Jelbi Libauer Straße/ Kopernikusstraße (FHA/LK),52.50996,13.455156,2025-07-20 22:41:44,Station (physisch),Potsdamer Straße - EDEKA (U Bülowstraße),52.498186,13.362336,334.9,Station:Station
15124,2025-07-20 22:30:43,Station (virtuell),S Beusselstraße (Südost),52.532833,13.328778,2025-07-20 22:41:44,Freistehend,Flexzone,52.529387,13.340117,11.0,Station:Flexzone
18327,2025-07-20 22:29:56,Station (virtuell),EDEKA Schaaf (Schillingstraße),52.51756,13.420484,2025-07-20 22:41:44,Station (virtuell),Greifswalder Straße/Marienburger Straße,52.533267,13.429161,11.8,Station:Station
