timestamp,station_name,event_type,duration_seconds,booked_bikes_entry,booked_bikes_exit,available_bikes_before,available_bikes_after,bikes_available_to_rent,bike_racks,free_racks,special_racks
2025-07-20T17:21:19,Jelbi Alte Schönhauser Straße/Linienstraße (MIT/LI),booked:bike_taken,264,1,0,2,1,1,7,6,0
2025-07-20T17:21:41,Ingrid-Reschke-Straße/Ulrich-Plenzdorf-Straße,booked:not_taken,307,1,0,1,1,1,4,3,0
2025-07-20T17:21:41,Reichenberger Straße/Ratiborstraße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:21:52,U Franz-Neumann-Platz,not_booked:bike_taken,0,0,0,4,2,2,4,2,0
2025-07-20T17:21:52,Jelbi S+U Zoologischer Garten/Hardenbergplatz (CHA/HA),not_booked:bike_taken,0,0,0,4,3,3,8,5,0
2025-07-20T17:22:02,S Nordbahnhof,not_booked:bike_taken,0,0,0,4,3,3,15,12,0
2025-07-20T17:22:02,**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),not_booked:bike_taken,0,0,0,4,3,3,10,7,0
2025-07-20T17:22:02,**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),not_booked:bike_taken,0,0,0,4,3,3,10,7,0
2025-07-20T17:22:24,S+U Yorckstraße (Süd),booked:bike_taken,157,1,0,3,2,2,4,1,0
2025-07-20T17:22:24,Yorckstraße/Katzbachstraße,booked:not_taken,318,1,0,1,1,1,4,3,0
2025-07-20T17:22:24,Großgörschenstraße/Bautzner Straße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:22:45,U Ernst-Reuter-Platz (Süd),not_booked:bike_taken,0,0,0,5,4,4,4,0,0
2025-07-20T17:22:45,S+U Yorckstraße (Süd),not_booked:bike_taken,0,0,0,2,1,1,4,2,0
2025-07-20T17:22:56,Minna-Flake-Platz,booked:not_taken,409,1,0,1,1,1,4,3,0
2025-07-20T17:22:56,VRAO 71 - Oberwallstraße/Hausvogteiplatz (Abstellfläche Mikromobilität),not_booked:bike_taken,0,0,0,4,3,3,4,1,0
2025-07-20T17:22:56,U Reinickendorfer Straße (Fennstraße),not_booked:bike_taken,0,0,0,5,4,4,4,0,0
2025-07-20T17:23:08,**Jelbi S+U Hauptbahnhof/Europaplatz West (MOA/EW),not_booked:bike_taken,0,0,0,11,10,10,28,17,0
2025-07-20T17:23:29,Birkenstraße/Wilsnacker Straße,not_booked:bike_taken,0,0,0,2,1,1,4,2,0
2025-07-20T17:23:40,Jelbi Neue Wache (MIT/NE),not_booked:bike_taken,0,0,0,2,1,1,10,9,0
2025-07-20T17:23:51,U Görlitzer Bahnhof,booked:bike_taken,152,3,2,3,2,0,15,12,0
2025-07-20T17:24:12,U Schönleinstraße,not_booked:bike_taken,0,0,0,2,1,1,6,5,0
2025-07-20T17:24:23,U Görlitzer Bahnhof,booked:bike_taken,184,3,1,2,1,0,15,13,0
